id,name,campaign_name,dm_name,start_date,session_count,current_level,setting,theme,main_plot,current_arc,status,primary_faction_ids,opposition_faction_ids,featured_npc_ids,featured_quest_ids,featured_location_ids,featured_encounter_ids,notes,version,is_active
campaign_the_great_bangkok_burnout,The Great Bangkok Burnout,The Great Bangkok Burnout,DM_Name,2025-01-20,8,5,Ekkamai Coworking District,Survival Horror/Comedy,A three-week coding retreat descends into madness as the WiFi dies and the only café with AC closes for renovations,The Quest for the Last Functioning Outlet,Active,faction_coworking_collective;faction_local_hosts_union;faction_founder_vc_syndicate,faction_corporate_machine,,quest_the_lost_charger;quest_the_lost_wifi_password,,,Party currently barricaded in a condo; one member has gone full mango sticky rice,1.0,true
campaign_seoul_nights_wifi_and_lies,Seoul Nights: WiFi & Lies,Seoul Nights: WiFi & Lies,DM_Name,2025-02-14,6,4,Hongdae & Gangnam,Noir Romance,Friday night clubbing reveals a dark network of K-beauty influencers running a fake engagement ring; someone must expose the truth,The Itaewon Conspiracy,Active,faction_creator_clout_ring;faction_nightlife_operators,faction_creator_clout_ring,,quest_the_podcast_guest;quest_the_viral_video,,encounter_tinder_hell,Heavy on social combat; multiple party members have compromising karaoke videos,1.0,true
campaign_devcon_descent_the_taipei_tech_terror,DevCon Descent: The Taipei Tech Terror,DevCon Descent: The Taipei Tech Terror,DM_Name,2025-03-10,12,7,Taiwan Tech Arena Convention Center,Corporate Dystopia,A tech conference becomes a battleground when the keynote speaker is revealed to be an AI; chaos ensues,Hunting the Real Founder in Xinyi,Active,faction_founder_vc_syndicate;faction_corporate_machine,,,quest_the_hackathon,,,Party split between believers and skeptics; bubble tea inventory critical,1.0,true
campaign_speed_networking_apocalypse,Speed Networking Apocalypse,Speed Networking Apocalypse,DM_Name,2025-04-05,4,3,Singapore Marina Bay Rooftop,Social Horror,A networking mixer's 3-minute timer malfunctions; attendees are trapped in endless small talk until someone finds the host,Breaking the Elevator Pitch Loop,Active,faction_founder_vc_syndicate;faction_creator_clout_ring,,,,,encounter_mansplainer,High Charisma saves required; several NPCs have already Burned Out from the humidity,1.0,true
campaign_the_chiang_mai_collective_collapse,The Chiang Mai Collective Collapse,The Chiang Mai Collective Collapse,DM_Name,2025-01-08,15,8,Nimman Road Ecosystem,Political Intrigue,Three rival coworking spaces wage war for territory; the party must choose a side or unite them all,The Battle of the Standing Desks,Active,faction_coworking_collective;faction_local_hosts_union;faction_founder_vc_syndicate,faction_local_resistance,,,,,Complex faction system; coffee loyalty cards as currency,1.0,true
campaign_friday_night_fyre_the_boracay_mixer_that_never_was,Friday Night Fyre: The Boracay Mixer That Never Was,Friday Night Fyre: The Boracay Mixer That Never Was,DM_Name,2025-05-01,3,2,Abandoned Beach Venue in Boracay,Disaster Survival,A hyped-up exclusive mixer turns out to be a scam; stranded attendees must survive on san mig light and broken promises,Escape from Influence Island,Active,faction_creator_clout_ring;faction_nightlife_operators,,,,,,Resource management heavy; Instagram followers as HP,1.0,true
campaign_nomad_summit_battle_for_the_beanbags,Nomad Summit: Battle for the Beanbags,Nomad Summit: Battle for the Beanbags,DM_Name,2025-06-15,10,6,Annual Nomad Conference in Osaka,Tournament Arc,The yearly nomad convention devolves into factional warfare between the Crypto Bros and the Slow Travelers,The Passive Income Playoffs,Active,faction_coworking_collective;faction_crypto_cult;faction_founder_vc_syndicate,,,,,,Bracket-style tournament; side quests involve panel hijacking at Umeda Sky Building,1.0,true
campaign_club_cartel_the_hong_kong_infiltration,Club Cartel: The Hong Kong Infiltration,Club Cartel: The Hong Kong Infiltration,DM_Name,2025-07-20,7,5,Lan Kwai Fong Club Circuit,Espionage/Dance,A secret society of remote workers uses Hong Kong clubs as front operations; the party must dance their way to the truth,Getting Past the Guest List Guardian,Active,faction_nightlife_operators;faction_backchannel_network,,,,,,Dexterity (Dancing) checks crucial; bottle service as party funds,1.0,true
campaign_the_shanghai_blockchain_bonfire,The Shanghai Blockchain Bonfire,The Shanghai Blockchain Bonfire,DM_Name,2025-08-03,5,4,Jing'an District Tech Meetup Scene,Cult Investigation,A crypto meetup group exhibits increasingly cult-like behavior; new members must infiltrate and deprogram,The Wallet of Infinite Regret,Active,faction_crypto_cult;faction_backchannel_network,faction_bureaucracy_machine,,quest_the_crypto_crash,,,Heavy Investigation focus; several party members already converted,1.0,true
campaign_the_phuket_transformation_retreat,The Phuket Transformation Retreat,The Phuket Transformation Retreat,DM_Name,2025-09-12,6,4,Jungle Wellness Center near Kata Beach,Body Horror/Comedy,A wellness retreat's mushroom ceremony goes wrong when the shaman is revealed to be a former growth hacker,Purging the Productivity Toxins,Active,faction_wellness_retreat_network;faction_independent_chaos,,,,,,Constitution saves every session; one PC thinks they're a gibbon now,1.0,true
campaign_hacker_house_horror_30_days_in_cebu,Hacker House Horror: 30 Days in Cebu,Hacker House Horror: 30 Days in Cebu,DM_Name,2025-10-01,9,6,Remote Villa in Mactan Island,Psychological Thriller,Twelve strangers agree to a month-long hacker house; by week two someone has eaten all the dried mangoes,The Dish Duty Tribunal,Active,faction_coworking_collective;faction_backchannel_network,,,,,,Sanity mechanics in play; passive-aggressive Slack messages as attacks,1.0,true
campaign_the_great_tokyo_virtual_summit_disaster,The Great Tokyo Virtual Summit Disaster,The Great Tokyo Virtual Summit Disaster,DM_Name,2025-11-05,4,3,Shibuya Virtual Conference Platform,Meta-Comedy,A virtual summit's platform crashes mid-keynote; trapped in digital limbo the attendees must debug their way out,Escaping the Breakout Room of Eternal Networking,Active,faction_founder_vc_syndicate;faction_creator_clout_ring,,,,,,Tech (Intelligence) heavy; party keeps getting muted by salaryman NPCs,1.0,true
campaign_taipei_speed_dating_showdown,Taipei Speed Dating Showdown,Taipei Speed Dating Showdown,DM_Name,2025-12-01,5,4,Zhongshan District Rooftop Bars,Romantic Comedy,A speed dating event for nomads becomes cutthroat when attendees realize there's only one person with a stable timezone,The Race for Romantic Compatibility,Active,faction_creator_clout_ring;faction_nightlife_operators,,,quest_the_tinder_date_from_hell,,encounter_tinder_hell,Charisma Olympics; several NPCs are catfishing with old profile photos,1.0,true
campaign_busan_pub_crawl_purgatory,Busan Pub Crawl Purgatory,Busan Pub Crawl Purgatory,DM_Name,2026-01-10,6,5,Haeundae Beach Bar District,Mythological Comedy,A legendary soju crawl route is said to grant enlightenment to those who complete it; few return unchanged,Finding the Final Pojangmacha,Active,faction_nightlife_operators;faction_wellness_retreat_network,,,,,,Constitution checks escalating; party keeps losing members to noraebang,1.0,true
campaign_the_coworking_coup_of_makati,The Coworking Coup of Makati,The Coworking Coup of Makati,DM_Name,2026-02-20,8,6,BGC Digital Hub Manila,Revolutionary Drama,A beloved coworking space announces a hostile takeover by WeWork's ghost; the regulars must resist,Occupying the Conference Room,Active,faction_coworking_collective;faction_corporate_machine;faction_founder_vc_syndicate,faction_corporate_machine,,,,encounter_mansplainer,Union-building mechanics; free barako coffee as morale system,1.0,true
